gene_id	transcript_id	baseline_score	baseline_rank	n_windows	top_window_k	best_window_region_type	best_window_inferred_region_type	topk_CDS_fraction	topk_UTR_fraction	topk_ncRNA_fraction	topk_unknown_fraction	topk_inferred_CDS_fraction	topk_inferred_UTR_fraction	topk_inferred_ncRNA_fraction	topk_inferred_unknown_fraction	topk_self_complementarity_score_mean	topk_inverted_repeat_score_mean	topk_simple_repeat_score_mean	topk_simple_repeat_penalty_score_mean	topk_reverse_complement_4mer_density_mean	topk_reverse_complement_5mer_density_mean	topk_reverse_complement_6mer_density_mean	topk_paired_architecture_score_mean	topk_stem_like_score_mean	topk_paired_run_density_mean	topk_max_local_paired_mean_31nt_mean	topk_max_local_paired_mean_41nt_mean	topk_max_local_paired_mean_81nt_mean	topk_longest_high_paired_run_mean	max_paired_architecture_score	fraction_high_paired_architecture_windows
LOC_Os04g51880	LOC_Os04g51880.6	0.99323171	51	234	10	unknown	5UTR	0.1	0.0	0.0	0.9	0.0	1.0	0.0	0.0	0.39966982418033903	0.39482209157734904	0.046626879688242875	0.046626879688242875	0.6106598984771574	0.2729591836734694	0.1035897435897436	0.42090191872722577	0.44087652826696877	0.4025	0.7220877770454652	0.7026295848009064	0.592727236100185	8.7	0.4513515657877036	0.0
LOC_Os06g23684	LOC_Os06g23684.2	0.9932314133333334	52	59	10	unknown	3UTR	0.4	0.0	0.0	0.6	0.3	0.7	0.0	0.0	0.5189642130994561	0.536473559541181	0.04135092625295862	0.04135092625295862	0.6888324873096445	0.3923469387755102	0.23794871794871794	0.5087910981993885	0.5589268576497954	0.5135	0.796609365555548	0.7582805729493863	0.6914109622254784	16.2	0.6789148104460175	0.3
LOC_Os01g19630	LOC_Os01g19630.1	0.9932073333333332	53	142	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5714623097146665	0.5782140608402393	0.05557459743416079	0.05557459743416079	0.7558375634517767	0.46530612244897956	0.25589743589743585	0.433177753684582	0.4596189631252755	0.4494999999999999	0.7491164045949136	0.6893568893758263	0.6006641408543528	9.6	0.45279961517289297	0.0
LOC_Os10g33370	LOC_Os10g33370.1	0.9932013566666668	54	69	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.4178030770851655	0.46768786332890755	0.055842394512586754	0.055842394512586754	0.5756345177664974	0.2801020408163265	0.15538461538461537	0.47186027783171836	0.5031885497705724	0.4845	0.7760201577217349	0.742565649311717	0.6725695721897078	11.3	0.5217771299121088	0.0
LOC_Os03g56110	LOC_Os03g56110.2	0.9931296466666666	55	65	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.6064277760615686	0.6600856829025792	0.082749970162411	0.082749970162411	0.7390862944162437	0.49693877551020416	0.3092307692307693	0.47724525425562614	0.5049669535450819	0.43099999999999994	0.7914917195996931	0.7639008606352458	0.6607402308487597	12.8	0.6089189059987522	0.1
LOC_Os10g21418	LOC_Os10g21418.1	0.9931237066666668	56	42	10	CDS	CDS	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.440232947647741	0.4639754481828448	0.05472724793246971	0.05472724793246971	0.6274111675126903	0.32602040816326533	0.14615384615384616	0.44511739778723164	0.4739683916045399	0.45899999999999996	0.7456157930435674	0.7054051748136195	0.6548839816340692	10.3	0.4923360681391004	0.0
LOC_Os05g44930	LOC_Os05g44930.1	0.9931131966666666	57	64	10	unknown	3UTR	0.4	0.0	0.0	0.6	0.2	0.8	0.0	0.0	0.44723828640616164	0.4304011944851321	0.04009031251396904	0.04009031251396904	0.7081218274111675	0.3051020408163266	0.11435897435897435	0.46111129522243316	0.49096173695432455	0.45999999999999996	0.7703521359351374	0.7253852108629739	0.640093716132788	11.5	0.5167777796119749	0.0
LOC_Os08g16255	LOC_Os08g16255.1	0.9930777433333332	58	65	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5034736033557644	0.5106513315924122	0.06470741708324436	0.06470741708324436	0.7081218274111675	0.3846938775510204	0.16615384615384615	0.4618568628331269	0.4944648175898606	0.425	0.7426591765496038	0.7183944527695819	0.6436250262790255	13.6	0.5396393232605258	0.0
LOC_Os10g10130	LOC_Os10g10130.5	0.9930662233333332	59	317	10	unknown	5UTR	0.2	0.0	0.0	0.8	0.0	1.0	0.0	0.0	0.5182648008518205	0.5247050499985598	0.05906505418244355	0.05906505418244355	0.6847715736040609	0.37448979591836734	0.19743589743589743	0.4317309434400095	0.4651603976342737	0.433	0.7066144270281638	0.6849811929028209	0.6049034867757632	11.1	0.5306154977954536	0.0
LOC_Os02g14800	LOC_Os02g14800.4	0.9930542133333332	60	422	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.4629988452142187	0.47819173029941703	0.04695372341967493	0.04695372341967493	0.6873096446700508	0.3413265306122449	0.16615384615384615	0.5079649659070105	0.5518659751957995	0.5185000000000001	0.8181089085917319	0.7845979255873983	0.6874003202091028	14.1	0.5345015606379188	0.0
