seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	model_name
1289457136	logistic_elasticnet	heldout	1000	55382	85	9	0.009	0.10588235294117647	1.5347946986385468	5.863976470588235	2.377776121539834e-05	logistic_elasticnet
1889382247	logistic_l2	calibration	50	55382	198	3	0.06	0.015151515151515152	0.1787584413708425	16.78242424242424	0.0007794496324364642	logistic_l2
1889382247	logistic_l2	calibration	100	55382	198	3	0.03	0.015151515151515152	0.357516882741685	8.39121212121212	0.005642919245790956	logistic_l2
1889382247	logistic_l2	calibration	200	55382	198	8	0.04	0.04040404040404041	0.71503376548337	11.188282828282828	7.102170742175267e-07	logistic_l2
1889382247	logistic_l2	calibration	500	55382	198	14	0.028	0.0707070707070707	1.7875844137084251	7.8317979797979795	4.487097238475894e-09	logistic_l2
1889382247	logistic_l2	calibration	1000	55382	198	20	0.02	0.10101010101010101	3.5751688274168503	5.594141414141414	7.173331524853028e-10	logistic_l2
1889382247	logistic_l2	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	logistic_l2
1889382247	logistic_l2	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	logistic_l2
1889382247	logistic_l2	heldout	200	55382	85	2	0.01	0.023529411764705882	0.3069589397277094	6.515529411764706	0.03809108791724583	logistic_l2
1889382247	logistic_l2	heldout	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	logistic_l2
1889382247	logistic_l2	heldout	1000	55382	85	11	0.011	0.12941176470588237	1.5347946986385468	7.1670823529411765	3.9813967814760067e-07	logistic_l2
1889382247	logistic_elasticnet	calibration	50	55382	198	3	0.06	0.015151515151515152	0.1787584413708425	16.78242424242424	0.0007794496324364642	logistic_elasticnet
1889382247	logistic_elasticnet	calibration	100	55382	198	3	0.03	0.015151515151515152	0.357516882741685	8.39121212121212	0.005642919245790956	logistic_elasticnet
1889382247	logistic_elasticnet	calibration	200	55382	198	8	0.04	0.04040404040404041	0.71503376548337	11.188282828282828	7.102170742175267e-07	logistic_elasticnet
1889382247	logistic_elasticnet	calibration	500	55382	198	14	0.028	0.0707070707070707	1.7875844137084251	7.8317979797979795	4.487097238475894e-09	logistic_elasticnet
1889382247	logistic_elasticnet	calibration	1000	55382	198	19	0.019	0.09595959595959595	3.5751688274168503	5.3144343434343435	4.473357834818325e-09	logistic_elasticnet
1889382247	logistic_elasticnet	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	logistic_elasticnet
1889382247	logistic_elasticnet	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	logistic_elasticnet
1889382247	logistic_elasticnet	heldout	200	55382	85	2	0.01	0.023529411764705882	0.3069589397277094	6.515529411764706	0.03809108791724583	logistic_elasticnet
1889382247	logistic_elasticnet	heldout	500	55382	85	11	0.022	0.12941176470588237	0.7673973493192734	14.334164705882353	3.4057139975216167e-10	logistic_elasticnet
1889382247	logistic_elasticnet	heldout	1000	55382	85	11	0.011	0.12941176470588237	1.5347946986385468	7.1670823529411765	3.9813967814760067e-07	logistic_elasticnet
800250632	logistic_l2	calibration	50	55382	198	1	0.02	0.005050505050505051	0.1787584413708425	5.594141414141414	0.16402632991152752	logistic_l2
800250632	logistic_l2	calibration	100	55382	198	2	0.02	0.010101010101010102	0.357516882741685	5.594141414141414	0.05010366622281267	logistic_l2
800250632	logistic_l2	calibration	200	55382	198	8	0.04	0.04040404040404041	0.71503376548337	11.188282828282828	7.102170742175267e-07	logistic_l2
800250632	logistic_l2	calibration	500	55382	198	13	0.026	0.06565656565656566	1.7875844137084251	7.272383838383838	3.850323107076825e-08	logistic_l2
800250632	logistic_l2	calibration	1000	55382	198	22	0.022	0.1111111111111111	3.5751688274168503	6.153555555555555	1.569875361480386e-11	logistic_l2
800250632	logistic_l2	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	logistic_l2
800250632	logistic_l2	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	logistic_l2
800250632	logistic_l2	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	logistic_l2
800250632	logistic_l2	heldout	500	55382	85	6	0.012	0.07058823529411765	0.7673973493192734	7.818635294117647	0.00012580221791490557	logistic_l2
800250632	logistic_l2	heldout	1000	55382	85	10	0.01	0.11764705882352941	1.5347946986385468	6.515529411764706	3.245648476373267e-06	logistic_l2
800250632	logistic_elasticnet	calibration	50	55382	198	1	0.02	0.005050505050505051	0.1787584413708425	5.594141414141414	0.16402632991152752	logistic_elasticnet
800250632	logistic_elasticnet	calibration	100	55382	198	3	0.03	0.015151515151515152	0.357516882741685	8.39121212121212	0.005642919245790956	logistic_elasticnet
800250632	logistic_elasticnet	calibration	200	55382	198	8	0.04	0.04040404040404041	0.71503376548337	11.188282828282828	7.102170742175267e-07	logistic_elasticnet
800250632	logistic_elasticnet	calibration	500	55382	198	13	0.026	0.06565656565656566	1.7875844137084251	7.272383838383838	3.850323107076825e-08	logistic_elasticnet
800250632	logistic_elasticnet	calibration	1000	55382	198	22	0.022	0.1111111111111111	3.5751688274168503	6.153555555555555	1.569875361480386e-11	logistic_elasticnet
800250632	logistic_elasticnet	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	logistic_elasticnet
800250632	logistic_elasticnet	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	logistic_elasticnet
800250632	logistic_elasticnet	heldout	200	55382	85	4	0.02	0.047058823529411764	0.3069589397277094	13.031058823529412	0.00026585296744680183	logistic_elasticnet
800250632	logistic_elasticnet	heldout	500	55382	85	6	0.012	0.07058823529411765	0.7673973493192734	7.818635294117647	0.00012580221791490557	logistic_elasticnet
800250632	logistic_elasticnet	heldout	1000	55382	85	10	0.01	0.11764705882352941	1.5347946986385468	6.515529411764706	3.245648476373267e-06	logistic_elasticnet
1539420525	logistic_l2	calibration	50	55382	198	2	0.04	0.010101010101010102	0.1787584413708425	11.188282828282828	0.01391951330001258	logistic_l2
1539420525	logistic_l2	calibration	100	55382	198	7	0.07	0.03535353535353535	0.357516882741685	19.57949494949495	8.111382016641936e-08	logistic_l2
1539420525	logistic_l2	calibration	200	55382	198	11	0.055	0.05555555555555555	0.71503376548337	15.383888888888889	1.9865406411345842e-10	logistic_l2
1539420525	logistic_l2	calibration	500	55382	198	23	0.046	0.11616161616161616	1.7875844137084251	12.866525252525252	9.140100293996939e-19	logistic_l2
1539420525	logistic_l2	calibration	1000	55382	198	32	0.032	0.16161616161616163	3.5751688274168503	8.950626262626262	4.87116976059401e-21	logistic_l2
1539420525	logistic_l2	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	logistic_l2
1539420525	logistic_l2	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	logistic_l2
